lokasi,harga,kamar_tidur,bangunan,lahan,alamat,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,pendingin_ruangan,air_panas,telepon,televisi,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak,malioboro,masjid_jogokariyan,malioboro_mall,universitas_ahmad_dahlan,terminal_giwangan,universitas_gadjah_mada,universitas_sarjanawiyata_tamansiswa,universitas_pembangunan_nasional_veteran_yogyakarta,lippo_plaza_jogja,masjid_gedhe_kauman,universitas_islam_indonesia,sleman_city_hall,institut_seni_indonesia_yogyakarta,sekolah_tinggi_teknologi_adisutjipto,universitas_jenderal_achmad_yani,universitas_tidar,jogja_city_mall,ambarrukmo_plaza,universitas_muhammadiyah_yogyakarta,monumen_jogja_kembali,stasiun_yogyakarta,universitas_teknologi_yogyakarta,universitas_negeri_yogyakarta,sman_1_teladan_yogyakarta,rs_panti_nugroho,galeria_mall,rumah_sakit_jogja_international_hospital,universitas_kristen_duta_wacana,stasiun_tugu,institut_sains_dan_teknologi_akprind,tugu_yogyakarta,universitas_aisyiyah,universitas_atmajaya_yogyakarta,rs_sardjito_yogyakarta,sman_6_yogyakarta,stmik_amikom_yogyakarta,universitas_islam_negeri_sunan_kalijaga,gereja_saint_francis_xaverius_yogyakarta,sahid_j_walk,rumah_sakit_panti_rapih,universitas_sanata_dharma_yogyakarta,sman_3_yogyakarta,jenis_rumah,kategori
"Umbulharjo, Yogyakarta",3000000000,6,300,440,"Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Wirobrajan, Yogyakarta",588600000,2,40,76,"Jl. Wates-Jogja Km 6, Ambarketawang, Gamping, Sleman, DIY                                        Wirobrajan, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan,biasa
"Tegalrejo, Yogyakarta",2900000000,6,252,144,"Tegalrejo, Yogyakarta",6,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,perumahan,biasa
"Umbulharjo, Yogyakarta",200000000,2,36,70,"Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Mantrijeron, Yogyakarta",16000000000,8,500,1088,"Mantrijeron, Yogyakarta",6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",1600000000,6,285,240,"Umbulharjo, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3900000000,10,540,418,"Jalan Veteran, Warungboto Kel., Umbulharjo, Yogyakarta, 55164, Indonesia                                        Umbulharjo, Yogyakarta",8,N,N,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Gondokusuman, Yogyakarta",4300000000,5,161,782,"Gondokusuman, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Pakualaman, Yogyakarta",15000000000,6,350,684,"Pakualaman, Yogyakarta",6,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Tegalrejo, Yogyakarta",1900000000,3,120,132,"Perumahan Kuantan Regency                                        Tegalrejo, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",590000000,4,100,87,"Potorono Kel., Banguntapan, Bantul, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan,biasa
"Umbulharjo, Yogyakarta",7500000000,4,350,722,"Umbulharjo, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Mergangsan, Yogyakarta",3000000000,9,200,215,"Mergangsan, Yogyakarta",5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",360000000,2,36,50,"Umbulharjo, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Tegalrejo, Yogyakarta",2500000000,3,150,280,"Tegalrejo, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",1500000000,5,147,323,"Umbulharjo, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",25000000000,41,2900,2084,"Pandeyan Kel., Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",43,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",798000000,3,50,111,"Rejowinangun Kel., Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3000000000,6,300,440,"Jalan Taman Siswa, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",4,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3000000000,6,300,440,"Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Wirobrajan, Yogyakarta",960000000,3,75,85,"Pakuncen Kel., Wirobrajan, Yogyakarta, Indonesia                                        Wirobrajan, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,townhouse,biasa
"Tegalrejo, Yogyakarta",1700000000,3,96,127,"Karangwaru Kel., Tegalrejo, Yogyakarta, Indonesia                                        Tegalrejo, Yogyakarta",2,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan,biasa
"Tegalrejo, Yogyakarta",1900000000,4,180,130,"Tegalrejo, Yogyakarta",4,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Gondokusuman, Yogyakarta",4700000000,5,161,782,"Gondokusuman, Yogyakarta, Indonesia                                        Gondokusuman, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Gondokusuman, Yogyakarta",7800000000,12,550,779,"Catur Tunggal Kel., Depok, Sleman, Indonesia                                        Gondokusuman, Yogyakarta",6,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Tegalrejo, Yogyakarta",2900000000,6,300,144,"Jalan cokro regensi                                        Tegalrejo, Yogyakarta",6,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,residence,premium
"Kotagede, Yogyakarta",690000000,2,40,111,"Jalan Gedongan Kuning Selatan, Purbayan Kel., Kotagede, Yogyakarta, 55173, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3000000000,6,300,440,"Jalan Malioboro, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",4,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",2100000000,4,195,133,"Umbulharjo, Yogyakarta",3,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",690000000,2,40,111,"Jalan Gedong Kuning, Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3000000000,11,300,376,"Jalan Kusumanegara, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,kost,biasa
"Gondokusuman, Yogyakarta",7800000000,12,550,779,"Gondokusuman, Yogyakarta, Indonesia                                        Gondokusuman, Yogyakarta",6,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",2500000000,5,200,250,"Jalan Ki Ageng Pemanahan, Yogyakarta, 55162, Indonesia                                        Umbulharjo, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Tegalrejo, Yogyakarta",2900000000,5,252,144,"Karangwaru Kel., Tegalrejo, Yogyakarta, Indonesia                                        Tegalrejo, Yogyakarta",4,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Wirobrajan, Yogyakarta",335000000,2,36,71,"jalan wates km 14                                        Wirobrajan, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",3000000000,6,300,440,"Jalan Taman Siswa, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",4,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",798000000,3,50,111,"Jalan Gedong Kuning, Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Pakualaman, Yogyakarta",12000000000,5,400,849,"Pakualaman, Yogyakarta",3,N,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Gondokusuman, Yogyakarta",1550000000,7,365,365,"Gondokusuman, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",690000000,2,40,111,"Rejowinangun Kel., Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",330000000,5,100,55,"Kotagede, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",1400000000,3,130,160,"Kotagede, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",2100000000,4,200,133,"Giwangan Kel., Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",3,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",690000000,2,40,111,"Jalan Gedong Kuning, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",1800000000,3,74,65,"Jalan Kenari, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",2,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Mergangsan, Yogyakarta",2300000000,1,220,393,"59RH+Q3 Wirogunan, Kota Yogyakarta, Daerah Istimewa Yogyakarta                                        Mergangsan, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Tegalrejo, Yogyakarta",2500000000,3,140,280,"Sidomulyo, Bener                                        Tegalrejo, Yogyakarta",3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",690000000,2,1,111,"Rejowinangun Kel., Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",2100000000,4,195,133,"Jalan Pramuka, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",3,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",6500000000,11,550,500,"Pandeyan Kel., Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",11,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,kost,biasa
"Umbulharjo, Yogyakarta",1450000000,5,166,127,"Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",3,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,perumahan,biasa
"Tegalrejo, Yogyakarta",1500000000,3,160,90,"Tegalrejo, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Jetis, Yogyakarta",3900000000,20,400,261,"Jetis, Yogyakarta",6,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,kost,premium
"Kotagede, Yogyakarta",798000000,3,50,111,"Jalan Gedong Kuning, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",690000000,2,40,111,"Rejowinangun Kel., Kotagede, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",6500000000,11,550,500,"Umbulharjo, Yogyakarta",11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,kost,biasa
"Kotagede, Yogyakarta",798000000,2,50,111,"Jalan Gedong Kuning, Bantul 55798, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",798000000,3,50,90,"Jalan Gedong Kuning, Yogyakarta, Indonesia                                        Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Mantrijeron, Yogyakarta",1050000000,4,165,107,"Mantrijeron, Yogyakarta",2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Umbulharjo, Yogyakarta",1300000000,5,130,90,"Umbulharjo, Yogyakarta, Indonesia                                        Umbulharjo, Yogyakarta",5,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,penginapan,biasa
"Jetis, Yogyakarta",610000000,2,36,90,"Jetis, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,rumah biasa,biasa
"Kotagede, Yogyakarta",450000000,2,42,93,"Kotagede, Yogyakarta",1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,rumah biasa,biasa
